a0,gamma0,R,chi
0.48580968,1,5.5716359e-09,2.3574499e-06
0.49515007,1,5.7879408e-09,2.4027752e-06
0.50467003,1,6.0126432e-09,2.448972e-06
0.51437304,1,6.2460692e-09,2.496057e-06
0.52426259,1,6.4885573e-09,2.5440473e-06
0.53434229,1,6.7404594e-09,2.5929602e-06
0.54461579,1,7.0021409e-09,2.6428136e-06
0.5550868,1,7.2739817e-09,2.6936255e-06
0.56575914,1,7.5563759e-09,2.7454143e-06
0.57663667,1,7.8497334e-09,2.7981988e-06
0.58772333,1,8.1544798e-09,2.8519982e-06
0.59902315,1,8.4710572e-09,2.9068319e-06
0.61054023,1,8.799925e-09,2.9627199e-06
0.62227874,1,9.1415602e-09,3.0196824e-06
0.63424294,1,9.4964585e-09,3.0777401e-06
0.64643716,1,9.8651349e-09,3.1369141e-06
0.65886584,1,1.0248124e-08,3.1972257e-06
0.67153348,1,1.0645982e-08,3.258697e-06
0.68444467,1,1.1059286e-08,3.3213501e-06
0.6976041,1,1.1488635e-08,3.3852078e-06
0.71101653,1,1.1934653e-08,3.4502932e-06
0.72468684,1,1.2397986e-08,3.5166301e-06
0.73861998,1,1.2879307e-08,3.5842423e-06
0.75282101,1,1.3379314e-08,3.6531545e-06
0.76729507,1,1.3898733e-08,3.7233916e-06
0.78204741,1,1.4438317e-08,3.7949791e-06
0.79708339,1,1.4998848e-08,3.867943e-06
0.81240846,1,1.5581141e-08,3.9423097e-06
0.82802817,1,1.618604e-08,4.0181063e-06
0.8439482,1,1.6814423e-08,4.0953601e-06
0.86017431,1,1.7467201e-08,4.1740993e-06
0.87671239,1,1.8145322e-08,4.2543523e-06
0.89356844,1,1.8849769e-08,4.3361483e-06
0.91074857,1,1.9581565e-08,4.4195169e-06
0.92825901,1,2.034177e-08,4.5044885e-06
0.94610612,1,2.1131489e-08,4.5910937e-06
0.96429636,1,2.1951866e-08,4.679364e-06
0.98283633,1,2.2804093e-08,4.7693315e-06
1.0017328,1,2.3689405e-08,4.8610287e-06
1.0209925,1,2.4609087e-08,4.9544889e-06
1.0406226,1,2.5564474e-08,5.0497461e-06
1.06063,1,2.6556951e-08,5.1468347e-06
1.0810221,1,2.7587959e-08,5.2457899e-06
1.1018063,1,2.8658993e-08,5.3466477e-06
1.1229901,1,2.9771607e-08,5.4494447e-06
1.1445812,1,3.0927416e-08,5.554218e-06
1.1665874,1,3.2128096e-08,5.6610058e-06
1.1890167,1,3.3375389e-08,5.7698467e-06
1.2118773,1,3.4671106e-08,5.8807803e-06
1.2351774,1,3.6017125e-08,5.9938467e-06
1.2589254,1,3.74154e-08,6.109087e-06
1.2831301,1,3.886796e-08,6.2265429e-06
1.3078001,1,4.0376912e-08,6.3462571e-06
1.3329444,1,4.1944445e-08,6.4682729e-06
1.3585721,1,4.3572834e-08,6.5926347e-06
1.3846926,1,4.5264441e-08,6.7193876e-06
1.4113153,1,4.7021721e-08,6.8485774e-06
1.4384499,1,4.8847222e-08,6.9802511e-06
1.4661061,1,5.0743594e-08,7.1144564e-06
1.4942941,1,5.2713588e-08,7.251242e-06
1.5230241,1,5.4760062e-08,7.3906575e-06
1.5523064,1,5.6885985e-08,7.5327534e-06
1.5821517,1,5.9094442e-08,7.6775814e-06
1.6125708,1,6.1388637e-08,7.8251938e-06
1.6435748,1,6.3771898e-08,7.9756444e-06
1.6751749,1,6.6247684e-08,8.1289875e-06
1.7073825,1,6.8819585e-08,8.2852789e-06
1.7402094,1,7.1491335e-08,8.4445753e-06
1.7736674,1,7.4266808e-08,8.6069343e-06
1.8077687,1,7.7150032e-08,8.7724149e-06
1.8425256,1,8.014519e-08,8.9410771e-06
1.8779508,1,8.3256628e-08,9.1129821e-06
1.9140571,1,8.648886e-08,9.2881922e-06
1.9508576,1,8.9846575e-08,9.466771e-06
1.9883656,1,9.3334645e-08,9.6487832e-06
2.0265948,1,9.695813e-08,9.8342948e-06
2.0655589,1,1.0072229e-07,1.0023373e-05
2.1052723,1,1.0463258e-07,1.0216087e-05
2.1457491,1,1.0869468e-07,1.0412506e-05
2.1870042,1,1.1291448e-07,1.0612701e-05
2.2290525,1,1.1729811e-07,1.0816745e-05
2.2719092,1,1.2185191e-07,1.1024713e-05
2.3155899,1,1.2658251e-07,1.1236679e-05
2.3601105,1,1.3149676e-07,1.145272e-05
2.405487,1,1.366018e-07,1.1672915e-05
2.4517359,1,1.4190502e-07,1.1897343e-05
2.498874,1,1.4741413e-07,1.2126087e-05
2.5469184,1,1.5313712e-07,1.2359228e-05
2.5958866,1,1.5908229e-07,1.2596852e-05
2.6457962,1,1.6525826e-07,1.2839044e-05
2.6966654,1,1.71674e-07,1.3085893e-05
2.7485127,1,1.7833882e-07,1.3337488e-05
2.8013568,1,1.8526238e-07,1.3593921e-05
2.8552168,1,1.9245473e-07,1.3855283e-05
2.9101125,1,1.9992631e-07,1.4121671e-05
2.9660635,1,2.0768795e-07,1.439318e-05
3.0230904,1,2.1575092e-07,1.466991e-05
3.0812136,1,2.2412691e-07,1.495196e-05
3.1404543,1,2.3282808e-07,1.5239432e-05
3.200834,1,2.4186705e-07,1.5532432e-05
3.2623747,1,2.5125694e-07,1.5831065e-05
3.3250985,1,2.6101137e-07,1.613544e-05
3.3890282,1,2.7114448e-07,1.6445667e-05
3.4541872,1,2.8167099e-07,1.6761859e-05
3.5205988,1,2.9260617e-07,1.7084129e-05
3.5882874,1,3.0396588e-07,1.7412596e-05
3.6572773,1,3.157666e-07,1.7747378e-05
3.7275937,1,3.2802545e-07,1.8088597e-05
3.799262,1,3.4076022e-07,1.8436376e-05
3.8723083,1,3.5398939e-07,1.8790842e-05
3.9467589,1,3.6773215e-07,1.9152122e-05
4.022641,1,3.8200844e-07,1.9520349e-05
4.099982,1,3.9683896e-07,1.9895656e-05
4.1788101,1,4.1224525e-07,2.0278178e-05
4.2591537,1,4.2824965e-07,2.0668055e-05
4.341042,1,4.4487537e-07,2.1065428e-05
4.4245047,1,4.6214656e-07,2.1470441e-05
4.5095721,1,4.8008825e-07,2.1883241e-05
4.5962751,1,4.9872648e-07,2.2303978e-05
4.6846451,1,5.1808829e-07,2.2732804e-05
4.7747141,1,5.3820179e-07,2.3169874e-05
4.8665148,1,5.5909613e-07,2.3615348e-05
4.9600805,1,5.8080165e-07,2.4069387e-05
5.0554451,1,6.0334983e-07,2.4532155e-05
5.1526433,1,6.2677339e-07,2.5003821e-05
5.2517102,1,6.511063e-07,2.5484555e-05
5.3526818,1,6.7638389e-07,2.5974532e-05
5.4555948,1,7.0264281e-07,2.647393e-05
5.5604864,1,7.2992117e-07,2.6982929e-05
5.6673947,1,7.5825855e-07,2.7501714e-05
5.7763584,1,7.8769605e-07,2.8030474e-05
5.8874172,1,8.1827639e-07,2.85694e-05
6.0006112,1,8.5004394e-07,2.9118688e-05
6.1159815,1,8.8304478e-07,2.9678536e-05
6.23357,1,9.173268e-07,3.0249148e-05
6.3534193,1,9.5293973e-07,3.0830731e-05
6.4755729,1,9.8993525e-07,3.1423496e-05
6.600075,1,1.028367e-06,3.2027658e-05
6.7269709,1,1.0682908e-06,3.2643435e-05
6.8563065,1,1.1097646e-06,3.3271052e-05
6.9881288,1,1.1528484e-06,3.3910736e-05
7.1224856,1,1.1976049e-06,3.4562718e-05
7.2594255,1,1.2440989e-06,3.5227236e-05
7.3989984,1,1.292398e-06,3.5904529e-05
7.5412547,1,1.3425721e-06,3.6594845e-05
7.6862461,1,1.3946941e-06,3.7298434e-05
7.8340252,1,1.4488396e-06,3.8015549e-05
7.9846455,1,1.5050872e-06,3.8746453e-05
8.1381617,1,1.5635185e-06,3.9491408e-05
8.2946295,1,1.6242182e-06,4.0250687e-05
8.4541056,1,1.6872745e-06,4.1024564e-05
8.6166479,1,1.7527787e-06,4.181332e-05
8.7823153,1,1.820826e-06,4.2617241e-05
8.9511678,1,1.891515e-06,4.3436618e-05
9.1232668,1,1.9649484e-06,4.4271749e-05
9.2986747,1,2.0412326e-06,4.5122937e-05
9.477455,1,2.1204784e-06,4.599049e-05
9.6596726,1,2.2028007e-06,4.6874723e-05
9.8453936,1,2.288319e-06,4.7775956e-05
10.034685,1,2.3771573e-06,4.8694518e-05
10.227617,1,2.4694445e-06,4.9630739e-05
10.424257,1,2.5653145e-06,5.0584961e-05
10.624678,1,2.6649065e-06,5.1557529e-05
10.828953,1,2.7683649e-06,5.2548796e-05
11.037155,1,2.8758398e-06,5.3559122e-05
11.24936,1,2.9874871e-06,5.4588873e-05
11.465645,1,3.1034688e-06,5.5638422e-05
11.686089,1,3.2239533e-06,5.670815e-05
11.91077,1,3.3491153e-06,5.7798445e-05
12.139772,1,3.4791364e-06,5.8909703e-05
12.373176,1,3.6142052e-06,6.0042326e-05
12.611068,1,3.7545177e-06,6.1196726e-05
12.853534,1,3.9002775e-06,6.237332e-05
13.100662,1,4.0516961e-06,6.3572537e-05
13.352541,1,4.2089931e-06,6.4794809e-05
13.609262,1,4.3723968e-06,6.6040582e-05
13.87092,1,4.5421443e-06,6.7310307e-05
14.137608,1,4.7184817e-06,6.8604444e-05
14.409424,1,4.901665e-06,6.9923462e-05
14.686466,1,5.09196e-06,7.1267841e-05
14.968834,1,5.2896427e-06,7.2638067e-05
15.256631,1,5.4949999e-06,7.4034637e-05
15.549962,1,5.7083296e-06,7.5458059e-05
15.848932,1,5.9299413e-06,7.6908848e-05
16.15365,1,6.1601566e-06,7.8387531e-05
16.464227,1,6.3993093e-06,7.9894643e-05
16.780776,1,6.6477466e-06,8.1430732e-05
17.10341,1,6.9058288e-06,8.2996354e-05
17.432248,1,7.1739305e-06,8.4592078e-05
17.767407,1,7.4524405e-06,8.6218481e-05
18.109011,1,7.741763e-06,8.7876155e-05
18.457183,1,8.0423177e-06,8.9565699e-05
18.812049,1,8.3545407e-06,9.1287728e-05
19.173737,1,8.6788849e-06,9.3042865e-05
19.54238,1,9.0158211e-06,9.4831747e-05
19.91811,1,9.3658379e-06,9.6655023e-05
20.301064,1,9.7294433e-06,9.8513354e-05
20.691381,1,1.0107165e-05,0.00010040741
21.089202,1,1.049955e-05,0.00010233789
21.494672,1,1.0907169e-05,0.00010430548
21.907938,1,1.1330613e-05,0.0001063109
22.329149,1,1.1770496e-05,0.00010835488
22.758459,1,1.2227456e-05,0.00011043816
23.196023,1,1.2702157e-05,0.00011256149
23.642,1,1.3195286e-05,0.00011472565
24.096551,1,1.3707561e-05,0.00011693141
24.559842,1,1.4239722e-05,0.00011917959
25.03204,1,1.4792544e-05,0.00012147098
25.513317,1,1.5366828e-05,0.00012380644
26.003847,1,1.5963407e-05,0.00012618679
26.503808,1,1.6583147e-05,0.00012861291
27.013381,1,1.7226946e-05,0.00013108568
27.532752,1,1.7895739e-05,0.00013360599
28.062109,1,1.8590497e-05,0.00013617476
28.601643,1,1.9312227e-05,0.00013879291
29.15155,1,2.0061976e-05,0.0001414614
29.71203,1,2.0840832e-05,0.0001441812
30.283287,1,2.1649926e-05,0.00014695329
30.865526,1,2.249043e-05,0.00014977868
31.45896,1,2.3363565e-05,0.00015265839
32.063803,1,2.4270598e-05,0.00015559346
32.680276,1,2.5212843e-05,0.00015858497
33.308601,1,2.6191669e-05,0.00016163399
33.949006,1,2.7208496e-05,0.00016474164
34.601725,1,2.8264798e-05,0.00016790903
35.266992,1,2.9362108e-05,0.00017113732
35.94505,1,3.0502019e-05,0.00017442768
36.636145,1,3.1686184e-05,0.0001777813
37.340528,1,3.2916322e-05,0.0001811994
38.058453,1,3.4194216e-05,0.00018468322
38.790181,1,3.5521722e-05,0.00018823402
39.535978,1,3.6900764e-05,0.00019185309
40.296113,1,3.8333345e-05,0.00019554174
41.070864,1,3.9821541e-05,0.0001993013
41.86051,1,4.1367514e-05,0.00020313316
42.665338,1,4.2973505e-05,0.00020703868
43.48564,1,4.4641844e-05,0.0002110193
44.321713,1,4.6374953e-05,0.00021507644
45.173862,1,4.8175345e-05,0.0002192116
46.042394,1,5.0045633e-05,0.00022342625
46.927625,1,5.198853e-05,0.00022772194
47.829875,1,5.4006856e-05,0.00023210022
48.749473,1,5.6103538e-05,0.00023656268
49.686751,1,5.8281618e-05,0.00024111094
50.64205,1,6.0544257e-05,0.00024574664
51.615716,1,6.2894737e-05,0.00025047147
52.608102,1,6.5336469e-05,0.00025528714
53.619568,1,6.7872995e-05,0.0002601954
54.650481,1,7.0507995e-05,0.00026519803
55.701214,1,7.3245293e-05,0.00027029684
56.77215,1,7.6088859e-05,0.00027549368
57.863675,1,7.904282e-05,0.00028079044
58.976187,1,8.2111461e-05,0.00028618904
60.110089,1,8.5299235e-05,0.00029169143
61.265791,1,8.8610765e-05,0.00029729962
62.443713,1,9.2050858e-05,0.00030301563
63.644283,1,9.5624504e-05,0.00030884154
64.867935,1,9.9336887e-05,0.00031477946
66.115114,1,0.0001031934,0.00032083154
67.386272,1,0.00010719962,0.00032699999
68.681869,1,0.00011136138,0.00033328703
70.002376,1,0.00011568471,0.00033969495
71.348272,1,0.00012017588,0.00034622607
72.720044,1,0.00012484141,0.00035288276
74.118191,1,0.00012968807,0.00035966744
75.543219,1,0.00013472289,0.00036658256
76.995646,1,0.00013995317,0.00037363063
78.475997,1,0.0001453865,0.00038081421
79.98481,1,0.00015103077,0.00038813591
81.522633,1,0.00015689416,0.00039559838
83.090022,1,0.00016298519,0.00040320432
84.687546,1,0.00016931268,0.0004109565
86.315785,1,0.00017588583,0.00041885773
87.97533,1,0.00018271416,0.00042691087
89.666781,1,0.00018980758,0.00043511884
91.390753,1,0.00019717639,0.00044348462
93.147871,1,0.00020483127,0.00045201125
94.938772,1,0.00021278334,0.00046070181
96.764105,1,0.00022104412,0.00046955946
98.624534,1,0.00022962561,0.00047858741
100.52073,1,0.00023854025,0.00048778894
102.45339,1,0.00024780099,0.00049716738
104.4232,1,0.00025742124,0.00050672613
106.43088,1,0.00026741498,0.00051646866
108.47717,1,0.0002777967,0.00052639851
110.5628,1,0.00028858147,0.00053651928
112.68853,1,0.00029978493,0.00054683463
114.85512,1,0.00031142333,0.0005573483
117.06338,1,0.00032351357,0.00056806412
119.31409,1,0.00033607318,0.00057898597
121.60807,1,0.00034912039,0.0005901178
123.94616,1,0.00036267412,0.00060146366
126.3292,1,0.00037675404,0.00061302765
128.75806,1,0.00039138058,0.00062481399
131.23362,1,0.00040657496,0.00063682693
133.75678,1,0.00042235922,0.00064907084
136.32844,1,0.00043875626,0.00066155015
138.94955,1,0.00045578988,0.0006742694
141.62105,1,0.00047348479,0.00068723319
144.34392,1,0.00049186666,0.00070044623
147.11914,1,0.00051096216,0.00071391331
149.94771,1,0.000530799,0.00072763932
152.83067,1,0.00055140595,0.00074162922
155.76906,1,0.00057281292,0.0007558881
158.76394,1,0.00059505095,0.00077042113
161.81641,1,0.00061815233,0.00078523358
164.92756,1,0.00064215056,0.00080033082
168.09853,1,0.00066708046,0.00081571832
171.33046,1,0.0006929782,0.00083140167
174.62454,1,0.00071988135,0.00084738656
177.98194,1,0.00074782896,0.00086367878
181.4039,1,0.00077686156,0.00088028423
184.89165,1,0.00080702127,0.00089720896
188.44645,1,0.00083835187,0.00091445908
192.06961,1,0.0008708988,0.00093204086
195.76242,1,0.00090470928,0.00094996068
199.52623,1,0.00093983237,0.00096822503
0.1,1.023352,2.4158806e-10,4.9659389e-07
0.10192264,1.023352,2.5096711e-10,5.0614162e-07
0.10388225,1.023352,2.6071029e-10,5.1587291e-07
0.10587954,1.023352,2.7083172e-10,5.2579131e-07
0.10791522,1.023352,2.8134608e-10,5.3590039e-07
0.10999005,1.023352,2.9226865e-10,5.4620385e-07
0.11210476,1.023352,3.0361525e-10,5.567054e-07
0.11426014,1.023352,3.1540236e-10,5.6740885e-07
0.11645695,1.023352,3.2764707e-10,5.783181e-07
0.118696,1.023352,3.4036715e-10,5.8943709e-07
0.1209781,1.023352,3.5358106e-10,6.0076986e-07
0.12330408,1.023352,3.6730797e-10,6.1232052e-07
0.12567478,1.023352,3.8156778e-10,6.2409326e-07
0.12809105,1.023352,3.9638121e-10,6.3609234e-07
0.13055379,1.023352,4.1176972e-10,6.4832213e-07
0.13306387,1.023352,4.2775566e-10,6.6078705e-07
0.13562221,1.023352,4.4436221e-10,6.7349162e-07
0.13822974,1.023352,4.6161346e-10,6.8644046e-07
0.14088741,1.023352,4.7953446e-10,6.9963826e-07
0.14359617,1.023352,4.9815119e-10,7.130898e-07
0.14635701,1.023352,5.1749067e-10,7.2679998e-07
0.14917093,1.023352,5.3758096e-10,7.4077374e-07
0.15203896,1.023352,5.5845121e-10,7.5501618e-07
0.15496213,1.023352,5.8013169e-10,7.6953244e-07
0.15794149,1.023352,6.0265386e-10,7.843278e-07
0.16097814,1.023352,6.260504e-10,7.9940763e-07
0.16407318,1.023352,6.5035525e-10,8.1477738e-07
0.16722772,1.023352,6.7560367e-10,8.3044264e-07
0.17044291,1.023352,7.018323e-10,8.4640909e-07
0.17371992,1.023352,7.290792e-10,8.6268251e-07
0.17705994,1.023352,7.5738389e-10,8.7926882e-07
0.18046417,1.023352,7.8678743e-10,8.9617402e-07
0.18393385,1.023352,8.173325e-10,9.1340424e-07
0.18747024,1.023352,8.490634e-10,9.3096574e-07
0.19107462,1.023352,8.8202618e-10,9.4886489e-07
0.1947483,1.023352,9.1626865e-10,9.6710817e-07
0.19849262,1.023352,9.518405e-10,9.8570221e-07
0.20230892,1.023352,9.8879335e-10,1.0046537e-06
0.2061986,1.023352,1.0271808e-09,1.0239696e-06
0.21016306,1.023352,1.0670585e-09,1.0436569e-06
0.21420375,1.023352,1.1084844e-09,1.0637227e-06
0.21832212,1.023352,1.1515186e-09,1.0841743e-06
0.22251968,1.023352,1.1962234e-09,1.1050191e-06
0.22679794,1.023352,1.2426638e-09,1.1262647e-06
0.23115845,1.023352,1.2909072e-09,1.1479187e-06
0.2356028,1.023352,1.3410234e-09,1.1699891e-06
0.2401326,1.023352,1.3930853e-09,1.1924838e-06
0.2447495,1.023352,1.4471684e-09,1.215411e-06
0.24945515,1.023352,1.5033511e-09,1.238779e-06
0.25425129,1.023352,1.561715e-09,1.2625963e-06
0.25913963,1.023352,1.6223447e-09,1.2868716e-06
0.26412196,1.023352,1.6853282e-09,1.3116135e-06
0.26920008,1.023352,1.7507569e-09,1.3368312e-06
0.27437584,1.023352,1.8187256e-09,1.3625336e-06
0.27965111,1.023352,1.8893331e-09,1.3887303e-06
0.2850278,1.023352,1.9626818e-09,1.4154306e-06
0.29050787,1.023352,2.038878e-09,1.4426443e-06
0.29609329,1.023352,2.1180324e-09,1.4703812e-06
0.30178611,1.023352,2.2002598e-09,1.4986514e-06
0.30758838,1.023352,2.2856794e-09,1.5274651e-06
0.31350221,1.023352,2.3744152e-09,1.5568328e-06
0.31952973,1.023352,2.466596e-09,1.5867651e-06
0.32567315,1.023352,2.5623554e-09,1.617273e-06
0.33193468,1.023352,2.6618325e-09,1.6483673e-06
0.3383166,1.023352,2.7651715e-09,1.6800596e-06
0.34482122,1.023352,2.8725224e-09,1.7123611e-06
0.3514509,1.023352,2.984041e-09,1.7452837e-06
0.35820805,1.023352,3.099889e-09,1.7788393e-06
0.36509511,1.023352,3.2202344e-09,1.81304e-06
0.37211458,1.023352,3.345252e-09,1.8478983e-06
0.37926902,1.023352,3.4751231e-09,1.8834268e-06
0.38656101,1.023352,3.6100361e-09,1.9196383e-06
0.3939932,1.023352,3.7501868e-09,1.9565461e-06
0.40156828,1.023352,3.8957785e-09,1.9941635e-06
0.409289,1.023352,4.0470224e-09,2.0325042e-06
0.41715817,1.023352,4.204138e-09,2.071582e-06
0.42517863,1.023352,4.3673532e-09,2.1114111e-06
0.4333533,1.023352,4.5369048e-09,2.152006e-06
0.44168513,1.023352,4.7130389e-09,2.1933814e-06
0.45017716,1.023352,4.8960109e-09,2.2355523e-06
0.45883246,1.023352,5.0860864e-09,2.278534e-06
0.46765417,1.023352,5.283541e-09,2.322342e-06
0.47664549,1.023352,5.4886614e-09,2.3669924e-06
0.48580968,1.023352,5.701745e-09,2.4125012e-06
0.49515007,1.023352,5.9231011e-09,2.458885e-06
0.50467003,1.023352,6.1530508e-09,2.5061605e-06
0.51437304,1.023352,6.3919277e-09,2.5543451e-06
0.52426259,1.023352,6.6400784e-09,2.603456e-06
0.53434229,1.023352,6.8978629e-09,2.6535112e-06
0.54461579,1.023352,7.1656553e-09,2.7045287e-06
0.5550868,1.023352,7.443844e-09,2.7565271e-06
0.56575914,1.023352,7.7328328e-09,2.8095253e-06
0.57663667,1.023352,8.0330408e-09,2.8635425e-06
0.58772333,1.023352,8.3449036e-09,2.9185981e-06
0.59902315,1.023352,8.6688737e-09,2.9747124e-06
0.61054023,1.023352,9.0054212e-09,3.0319055e-06
0.62227874,1.023352,9.3550343e-09,3.0901982e-06
0.63424294,1.023352,9.7182203e-09,3.1496117e-06
0.64643716,1.023352,1.0095506e-08,3.2101674e-06
0.65886584,1.023352,1.0487439e-08,3.2718875e-06
0.67153348,1.023352,1.0894588e-08,3.3347942e-06
0.68444467,1.023352,1.1317543e-08,3.3989104e-06
0.6976041,1.023352,1.1756918e-08,3.4642593e-06
0.71101653,1.023352,1.2213352e-08,3.5308646e-06
0.72468684,1.023352,1.2687505e-08,3.5987506e-06
0.73861998,1.023352,1.3180065e-08,3.6679417e-06
0.75282101,1.023352,1.3691749e-08,3.7384631e-06
0.76729507,1.023352,1.4223297e-08,3.8103404e-06
0.78204741,1.023352,1.4775481e-08,3.8835996e-06
0.79708339,1.023352,1.5349102e-08,3.9582674e-06
0.81240846,1.023352,1.5944993e-08,4.0343707e-06
0.82802817,1.023352,1.6564018e-08,4.1119373e-06
0.8439482,1.023352,1.7207074e-08,4.1909952e-06
0.86017431,1.023352,1.7875096e-08,4.271573e-06
0.87671239,1.023352,1.8569053e-08,4.3537001e-06
0.89356844,1.023352,1.928995e-08,4.4374062e-06
0.91074857,1.023352,2.0038834e-08,4.5227217e-06
0.92825901,1.023352,2.0816792e-08,4.6096775e-06
0.94610612,1.023352,2.1624952e-08,4.6983051e-06
0.96429636,1.023352,2.2464487e-08,4.7886368e-06
0.98283633,1.023352,2.3336615e-08,4.8807052e-06
1.0017328,1.023352,2.4242601e-08,4.9745437e-06
1.0209925,1.023352,2.518376e-08,5.0701864e-06
1.0406226,1.023352,2.6161457e-08,5.167668e-06
1.06063,1.023352,2.717711e-08,5.2670238e-06
1.0810221,1.023352,2.8232194e-08,5.3682898e-06
1.1018063,1.023352,2.9328239e-08,5.4715029e-06
1.1229901,1.023352,3.0466835e-08,5.5767004e-06
1.1445812,1.023352,3.1649634e-08,5.6839204e-06
1.1665874,1.023352,3.2878352e-08,5.7932019e-06
1.1890167,1.023352,3.4154773e-08,5.9045845e-06
1.2118773,1.023352,3.5480747e-08,6.0181085e-06
1.2351774,1.023352,3.6858199e-08,6.1338153e-06
1.2589254,1.023352,3.8289127e-08,6.2517467e-06
1.2831301,1.023352,3.9775607e-08,6.3719454e-06
1.3078001,1.023352,4.1319796e-08,6.4944552e-06
1.3329444,1.023352,4.2923934e-08,6.6193204e-06
1.3585721,1.023352,4.4590349e-08,6.7465863e-06
1.3846926,1.023352,4.6321459e-08,6.876299e-06
1.4113153,1.023352,4.8119774e-08,7.0085057e-06
1.4384499,1.023352,4.9987905e-08,7.1432542e-06
1.4661061,1.023352,5.1928561e-08,7.2805935e-06
1.4942941,1.023352,5.3944558e-08,7.4205733e-06
1.5230241,1.023352,5.6038822e-08,7.5632444e-06
1.5523064,1.023352,5.8214389e-08,7.7086586e-06
